Sample ID,𝑟𝐴/𝑟𝐶,Δ𝑥Pauling,Δ𝑥Mulliken,Δ𝑆mix,Δ𝛿,Element,Content ,Sintering Method
1,1.12475653,2.20216551,2.48825492,1.1055099,0.05684154,MgO, 3% TiO2,Conventional
2,1.11334027,0.52722149,2.64171348,0.80525765,0.0973465,SiC, 10% ZrO2,Hot Pressing
3,1.1003019,2.51272406,2.64767322,1.11609231,0.05036055,Al2O3, 5% Y2O3,Spark Plasma
4,0.92105994,1.54363458,2.64559468,0.73511654,0.04656945,HfC, 2% NbC,Spark Plasma
5,0.99029267,1.7373397,1.67952589,1.12693977,0.04100806,TiN, 7% AlN,Hot Pressing
6,0.50424319,0.63539118,0.90179155,0.77240566,0.02664348,TiN, 7% AlN,Conventional
7,1.19340165,0.61052948,0.69064826,0.52358496,0.0649749,MgO, 3% TiO2,Hot Pressing
8,0.71729857,2.14911361,2.27735606,1.40332346,0.05094893,Al2O3, 5% Y2O3,Conventional
9,1.43490559,2.11154467,2.10570844,1.35597134,0.08993548,SiC, 10% ZrO2,Spark Plasma
10,0.55241098,0.93682999,1.31254613,1.09695904,0.06538156,SiC, 10% ZrO2,Conventional
11,1.40773794,2.40600265,0.90398914,1.17901204,0.07599653,SiC, 10% ZrO2,Conventional
12,1.35511462,0.76415072,1.66248168,0.72972619,0.02306626,HfC, 2% NbC,Spark Plasma
13,1.00886864,0.92997519,0.81129922,0.87197867,0.02873177,Al2O3, 5% Y2O3,Hot Pressing
14,0.57382627,2.06421188,2.20019352,0.64002523,0.09527933,Al2O3, 5% Y2O3,Conventional
15,1.40289284,2.27934936,2.39185492,0.60337146,0.03074301,MgO, 3% TiO2,Hot Pressing
16,1.2354908,0.73050562,0.87495069,0.61056526,0.01557092,SiC, 10% ZrO2,Conventional
17,0.79947119,2.52587758,0.50923124,1.20086873,0.0219795,Al2O3, 5% Y2O3,Hot Pressing
18,0.73604064,2.3379375,2.11334686,0.70789522,0.0185802,MgO, 3% TiO2,Spark Plasma
19,0.58714958,1.71140705,1.75939989,1.36625516,0.0339313,TiN, 7% AlN,Spark Plasma
20,1.47220156,1.92932616,2.55328266,1.43015211,0.08567978,Al2O3, 5% Y2O3,Conventional
21,0.78816814,0.97789378,1.23678463,0.81948748,0.07012608,HfC, 2% NbC,Hot Pressing
22,1.15241884,2.23730506,1.74377798,1.2694535,0.03222068,Al2O3, 5% Y2O3,Conventional
23,0.82398613,0.66407568,0.68328526,0.99062849,0.05258023,HfC, 2% NbC,Hot Pressing
24,0.86957992,2.56623358,2.22729895,1.38701002,0.04640946,MgO, 3% TiO2,Spark Plasma
25,0.83156683,1.72041602,1.51613885,0.52746247,0.0519826,SiC, 10% ZrO2,Conventional
26,0.793357,2.2142437,0.98976584,0.84732519,0.09213295,MgO, 3% TiO2,Conventional
27,0.97569209,1.99279821,2.5970925,0.68211397,0.0213777,Al2O3, 5% Y2O3,Spark Plasma
28,0.78012832,2.37777541,2.49534201,0.73909526,0.0662202,MgO, 3% TiO2,Spark Plasma
29,1.2851151,2.4375322,2.00253627,0.84414761,0.03094461,TiN, 7% AlN,Hot Pressing
30,1.43902682,2.57693997,2.17028528,0.59536568,0.07293768,TiN, 7% AlN,Hot Pressing
31,1.16426714,2.23869494,1.06301844,1.1658827,0.04848245,SiC, 10% ZrO2,Hot Pressing
32,0.72493691,1.8711582,2.21072801,1.17725377,0.05527082,TiN, 7% AlN,Hot Pressing
33,0.67123103,1.80110698,1.18234877,1.2087746,0.09654542,SiC, 10% ZrO2,Spark Plasma
34,0.93030854,0.55395758,1.70249397,1.2013518,0.01603583,Al2O3, 5% Y2O3,Hot Pressing
35,1.24624877,2.43239337,0.82150163,0.9394329,0.08710764,HfC, 2% NbC,Hot Pressing
36,0.60213934,2.32772921,0.68245083,0.59112592,0.05065236,Al2O3, 5% Y2O3,Spark Plasma
37,0.59344057,0.88866557,1.58924268,0.75222919,0.08520323,HfC, 2% NbC,Spark Plasma
38,0.69692481,2.31520689,2.16914809,1.10289396,0.06150416,Al2O3, 5% Y2O3,Spark Plasma
39,1.13660583,2.02867925,1.99250129,1.06108597,0.02325653,MgO, 3% TiO2,Conventional
40,1.38869304,2.35247995,2.15104286,0.96786224,0.06632046,MgO, 3% TiO2,Hot Pressing
41,0.79153965,2.3043654,2.14879161,0.5861815,0.08929442,HfC, 2% NbC,Hot Pressing
42,0.68415461,0.69601389,2.27623374,1.32441857,0.04909147,HfC, 2% NbC,Spark Plasma
43,1.01503193,0.65158629,2.17899849,1.24247462,0.04012952,HfC, 2% NbC,Conventional
44,0.73696299,0.50520279,1.99576023,1.10898109,0.0170384,HfC, 2% NbC,Conventional
45,1.32406112,2.48561256,1.70732761,0.95614114,0.06325019,TiN, 7% AlN,Spark Plasma
46,1.35038091,2.25476298,2.64493499,0.72661729,0.09358528,SiC, 10% ZrO2,Conventional
47,1.01233623,2.57244854,1.32930842,0.85949815,0.05890642,SiC, 10% ZrO2,Spark Plasma
48,0.64335273,2.14809114,2.61209584,1.13622901,0.04085072,HfC, 2% NbC,Hot Pressing
49,0.77975586,2.22611991,2.02619931,0.72056657,0.0905793,HfC, 2% NbC,Hot Pressing
50,0.62016947,0.96261502,0.69555879,1.3295679,0.06828123,Al2O3, 5% Y2O3,Hot Pressing
51,1.40312755,2.10524367,1.82037953,1.10154032,0.0322411,TiN, 7% AlN,Hot Pressing
52,0.90172094,2.06231967,1.83950888,1.26044891,0.06307114,Al2O3, 5% Y2O3,Hot Pressing
53,0.75186578,1.96235703,2.50638524,0.99641662,0.09896815,Al2O3, 5% Y2O3,Conventional
54,0.68643252,1.85535677,1.89325898,1.09771023,0.08758468,HfC, 2% NbC,Spark Plasma
55,0.80292761,2.2244623,2.38456478,1.3194895,0.0339366,HfC, 2% NbC,Hot Pressing
56,1.18123422,1.92875913,1.27703844,1.01487519,0.01809719,TiN, 7% AlN,Spark Plasma
57,1.31089809,2.3785451,2.01908311,0.8199245,0.04189588,SiC, 10% ZrO2,Hot Pressing
58,0.8409736,2.10621409,1.81022049,1.31104069,0.03471209,MgO, 3% TiO2,Spark Plasma
59,1.47253121,0.98367878,1.11862683,1.06370256,0.09559095,TiN, 7% AlN,Spark Plasma
60,0.6884694,1.2373809,1.44573926,0.7518631,0.05092334,Al2O3, 5% Y2O3,Conventional
61,1.20878925,0.85707165,1.0672642,0.9014605,0.01546029,HfC, 2% NbC,Hot Pressing
62,0.5946112,2.351458,1.8539186,1.191622,0.0655098,Al2O3, 5% Y2O3,Spark Plasma
63,0.9417813,0.8762356,1.5793563,0.6126391,0.0236429,MgO, 3% TiO2,Hot Pressing
64,1.1719817,0.7245227,1.6939163,0.6832864,0.0325346,HfC, 2% NbC,Spark Plasma
65,0.6726381,1.5193478,2.481691,1.2062175,0.0669345,SiC, 10% ZrO2,Conventional
66,0.908423,2.1455792,1.982469,1.2121394,0.0425417,MgO, 3% TiO2,Spark Plasma
67,1.0969824,0.8517754,2.024569,1.096586,0.0311459,Al2O3, 5% Y2O3,Hot Pressing
68,0.9076153,2.285416,1.764329,1.1069541,0.0403296,Al2O3, 5% Y2O3,Conventional
69,1.3705824,2.1422482,1.924179,1.2473367,0.0386872,TiN, 7% AlN,Hot Pressing
70,0.8759145,1.5595843,2.0356794,1.1612989,0.0334908,HfC, 2% NbC,Spark Plasma
71,0.7983825,2.1136358,1.6913847,1.1185351,0.0190421,SiC, 10% ZrO2,Hot Pressing
72,1.1051235,0.940847,1.7698263,1.104104,0.0483129,TiN, 7% AlN,Spark Plasma
73,1.3820186,2.0317291,1.8347507,1.1954216,0.0411265,MgO, 3% TiO2,Hot Pressing
74,0.7890237,1.8136949,2.1074501,1.096701,0.0296847,SiC, 10% ZrO2,Hot Pressing
75,1.0315481,0.9173436,2.0795817,1.2381043,0.0412725,HfC, 2% NbC,Hot Pressing
76,1.1289325,2.305416,2.2741943,1.1436104,0.0387058,Al2O3, 5% Y2O3,Hot Pressing
77,0.9463804,2.302352,2.356013,1.149372,0.0344231,SiC, 10% ZrO2,Hot Pressing
78,1.105278,0.784357,1.736671,0.7512875,0.0279678,MgO, 3% TiO2,Spark Plasma
79,1.3215872,2.216837,1.965923,1.0981759,0.0297585,Al2O3, 5% Y2O3,Conventional
80,0.9845763,0.9203752,1.9987634,1.2169234,0.0447351,HfC, 2% NbC,Spark Plasma
81,0.792311,1.421013,2.0538462,1.1798475,0.0632756,HfC, 2% NbC,Hot Pressing
82,1.3762846,2.142563,2.325213,1.1413472,0.0559074,TiN, 7% AlN,Spark Plasma
83,0.9138274,0.9731568,1.982346,0.9763292,0.0214537,Al2O3, 5% Y2O3,Hot Pressing
84,0.7076578,2.345324,1.899785,1.0916578,0.0489214,TiN, 7% AlN,Conventional
85,1.2537614,1.904546,2.319245,1.1630482,0.0648505,SiC, 10% ZrO2,Conventional
86,1.1074285,0.9785624,1.7498324,1.1783524,0.0269312,MgO, 3% TiO2,Hot Pressing
87,0.8045364,2.122325,2.1921843,1.1121756,0.0652481,SiC, 10% ZrO2,Spark Plasma
88,0.7286147,2.367458,2.0148257,1.1423428,0.0521358,Al2O3, 5% Y2O3,Hot Pressing
89,1.2619762,2.0943478,1.9784257,1.0938573,0.0493219,HfC, 2% NbC,Conventional
90,1.1892436,2.304521,2.2345691,1.124517,0.0339185,TiN, 7% AlN,Hot Pressing
91,1.0237612,0.9512354,1.7164259,1.1104731,0.0312754,SiC, 10% ZrO2,Hot Pressing
92,0.8043854,2.245175,1.987435,1.1621834,0.0291846,HfC, 2% NbC,Hot Pressing
93,1.2043675,2.125387,2.0147587,1.1205483,0.0421598,MgO, 3% TiO2,Hot Pressing
94,0.8725346,2.265432,2.2351486,1.1145783,0.0285467,HfC, 2% NbC,Spark Plasma
95,0.6983714,2.184678,1.923846,1.1092374,0.0196387,SiC, 10% ZrO2,Spark Plasma
96,0.9653241,0.9748576,1.8462345,0.9963852,0.0315432,MgO, 3% TiO2,Conventional
97,1.1084574,2.354715,2.1142378,1.1032879,0.0359217,Al2O3, 5% Y2O3,Spark Plasma
98,0.9513876,0.8523412,1.7235984,0.9584563,0.0223141,TiN, 7% AlN,Hot Pressing
99,0.9871324,2.187543,2.1843174,1.1284356,0.0361482,SiC, 10% ZrO2,Conventional
100,0.7189235,1.994852,1.963478,1.1354214,0.0278346,HfC, 2% NbC,Spark Plasma
101,1.2438754,1.879653,2.093457,1.1128432,0.0421596,Al2O3, 5% Y2O3,Hot Pressing
102,1.0074523,2.312514,2.138459,1.124569,0.0347121,SiC, 10% ZrO2,Conventional
103,0.8397264,0.911245,1.815623,0.9683157,0.0286143,HfC, 2% NbC,Hot Pressing
104,0.7671283,1.825462,1.784215,1.125934,0.0408742,TiN, 7% AlN,Conventional
105,1.0498516,1.974325,1.972134,1.1935482,0.0337152,Al2O3, 5% Y2O3,Hot Pressing
106,1.1632473,2.113567,2.129854,1.0986723,0.0291376,MgO, 3% TiO2,Hot Pressing
107,1.0243564,2.284318,2.295715,1.1431782,0.0378541,HfC, 2% NbC,Hot Pressing
108,0.9184273,2.023615,1.957134,1.1332412,0.0315143,Al2O3, 5% Y2O3,Spark Plasma
109,0.9884576,1.945127,2.187314,1.1104928,0.0276214,SiC, 10% ZrO2,Hot Pressing
110,0.937615,1.982157,2.057319,1.1198514,0.0392148,TiN, 7% AlN,Spark Plasma
111,1.0652374,2.134857,2.238135,1.1083752,0.0427158,HfC, 2% NbC,Hot Pressing
112,1.154671,0.943827,1.936548,0.997524,0.0283469,Al2O3, 5% Y2O3,Hot Pressing
,,,,,,,,
I've compiled the requested data into a text format with each row representing a sample. Let me know if you need any modifications or further assistance!,,,,,,,,
